+------------+--------+----------+------------+--------------------+---------+--------+--------+
| Date       | strike | best_bid | best_offer | implied_volatility | delta   | gamma  | vega   |
| 2019-02-16 | 82.50  | 0.70     | 0.75       | 0.2452             | 0.2396  | 0.0584 | 0.0673 |
| 2019-02-16 | 82.50  | 4.75     | 4.90       | 0.2493             | -0.7638 | 0.0595 | 0.0670 |
| 2019-02-16 | 85.00  | 0.28     | 0.32       | 0.2402             | 0.1204  | 0.0385 | 0.0434 |
| 2019-02-16 | 85.00  | 6.70     | 7.00       | 0.2296             | -0.9043 | 0.0398 | 0.0386 |
| 2019-02-16 | 90.00  | 0.02     | 0.06       | 0.2402             | 0.0210  | 0.0097 | 0.0109 |
| 2019-02-16 | 90.00  | 11.25    | 12.10      | 0.2296             | -1.0000 | 0.0001 | 0.0000 |
| 2019-02-23 | 67.50  | 10.70    | 11.55      | 0.3542             | 0.9661  | 0.0113 | 0.0141 |
| 2019-02-23 | 67.50  | 0.01     | 0.06       | 0.3008             | -0.0163 | 0.0072 | 0.0076 |
| 2019-02-23 | 70.00  | 8.35     | 9.20       | 0.3542             | 0.9189  | 0.0226 | 0.0282 |
| 2019-02-23 | 70.00  | 0.10     | 0.15       | 0.3008             | -0.0513 | 0.0186 | 0.0198 |
| 2019-02-23 | 72.50  | 6.10     | 6.60       | 0.2901             | 0.8820  | 0.0363 | 0.0371 |
| 2019-02-23 | 72.50  | 0.20     | 0.27       | 0.2641             | -0.0976 | 0.0349 | 0.0325 |
| 2019-02-23 | 75.00  | 3.90     | 4.10       | 0.2290             | 0.8069  | 0.0637 | 0.0515 |
| 2019-02-23 | 75.00  | 0.38     | 0.51       | 0.2234             | -0.1881 | 0.0646 | 0.0504 |
| 2019-02-23 | 77.50  | 1.95     | 2.22       | 0.2033             | 0.6165  | 0.1000 | 0.0717 |
| 2019-02-23 | 77.50  | 0.95     | 1.07       | 0.1964             | -0.3824 | 0.1045 | 0.0717 |
| 2019-02-23 | 80.00  | 0.73     | 0.88       | 0.1875             | 0.3485  | 0.1050 | 0.0695 |
| 2019-02-23 | 80.00  | 2.10     | 2.35       | 0.1788             | -0.6658 | 0.1117 | 0.0688 |
| 2019-02-23 | 82.50  | 0.14     | 0.21       | 0.1686             | 0.1152  | 0.0613 | 0.0365 |
| 2019-02-23 | 82.50  | 3.85     | 4.50       | 0.1676             | -0.9019 | 0.0652 | 0.0335 |
| 2019-02-23 | 85.00  | 0.02     | 0.06       | 0.1686             | 0.0263  | 0.0192 | 0.0115 |
| 2019-02-23 | 85.00  | 6.25     | 6.75       | 0.1676             | -0.9989 | 0.0095 | 0.0020 |
| 2019-02-23 | 90.00  | 0.00     | 0.01       | 0.1686             | 0.0004  | 0.0005 | 0.0003 |
| 2019-02-23 | 90.00  | 11.15    | 11.75      | 0.1676             | -1.0000 | 0.0000 | 0.0000 |
| 2019-03-02 | 70.00  | 10.85    | 11.65      | 0.4047             | 0.9735  | 0.0096 | 0.0098 |
| 2019-03-02 | 70.00  | 0.00     | 0.05       | 0.3739             | -0.0184 | 0.0076 | 0.0072 |
| 2019-03-02 | 72.50  | 8.65     | 9.30       | 0.3879             | 0.9396  | 0.0194 | 0.0190 |
| 2019-03-02 | 72.50  | 0.06     | 0.08       | 0.3264             | -0.0336 | 0.0144 | 0.0119 |
| 2019-03-02 | 75.00  | 6.15     | 6.55       | 0.2188             | 0.9721  | 0.0184 | 0.0102 |
| 2019-03-02 | 75.00  | 0.11     | 0.16       | 0.2816             | -0.0670 | 0.0291 | 0.0207 |
| 2019-03-02 | 77.50  | 4.00     | 4.15       | 0.2302             | 0.8624  | 0.0602 | 0.0349 |
| 2019-03-02 | 77.50  | 0.24     | 0.30       | 0.2327             | -0.1401 | 0.0605 | 0.0355 |
| 2019-03-02 | 80.00  | 1.93     | 2.04       | 0.1933             | 0.6742  | 0.1174 | 0.0572 |
| 2019-03-02 | 80.00  | 0.64     | 0.71       | 0.1941             | -0.3276 | 0.1182 | 0.0581 |
| 2019-03-02 | 82.50  | 0.52     | 0.62       | 0.1657             | 0.3338  | 0.1383 | 0.0578 |
| 2019-03-02 | 82.50  | 1.73     | 1.85       | 0.1706             | -0.6666 | 0.1377 | 0.0580 |
| 2019-03-02 | 85.00  | 0.07     | 0.10       | 0.1570             | 0.0767  | 0.0578 | 0.0229 |
| 2019-03-02 | 85.00  | 3.50     | 3.90       | 0.1570             | -0.9386 | 0.0621 | 0.0205 |
| 2019-03-02 | 87.50  | 0.00     | 0.03       | 0.1570             | 0.0088  | 0.0096 | 0.0038 |
| 2019-03-02 | 87.50  | 6.15     | 6.40       | 0.1570             | -1.0000 | 0.0000 | 0.0000 |
| 2019-03-02 | 90.00  | 0.00     | 0.01       | 0.1570             | 0.0005  | 0.0007 | 0.0003 |
| 2019-03-02 | 90.00  | 8.50     | 9.00       | 0.1570             | -1.0000 | 0.0000 | 0.0000 |
| 2019-03-02 | 95.00  | 0.00     | 0.03       | 0.1570             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-02 | 95.00  | 13.35    | 14.05      | 0.1570             | -1.0000 | 0.0000 | 0.0000 |
| 2019-03-09 | 67.50  | 10.45    | 10.85      | 0.6421             | 0.9534  | 0.0141 | 0.0105 |
| 2019-03-09 | 67.50  | 0.02     | 0.03       | 0.4817             | -0.0135 | 0.0067 | 0.0037 |
| 2019-03-09 | 70.00  | 7.75     | 8.60       | 0.5277             | 0.9365  | 0.0219 | 0.0134 |
| 2019-03-09 | 70.00  | 0.03     | 0.05       | 0.4033             | -0.0241 | 0.0130 | 0.0061 |
| 2019-03-09 | 72.50  | 5.35     | 5.95       | 0.3737             | 0.9263  | 0.0348 | 0.0150 |
| 2019-03-09 | 72.50  | 0.09     | 0.11       | 0.3486             | -0.0607 | 0.0320 | 0.0129 |
| 2019-03-09 | 75.00  | 3.20     | 3.40       | 0.2984             | 0.8361  | 0.0770 | 0.0266 |
| 2019-03-09 | 75.00  | 0.21     | 0.25       | 0.2774             | -0.1467 | 0.0773 | 0.0252 |
| 2019-03-09 | 77.50  | 1.21     | 1.30       | 0.2278             | 0.5900  | 0.1586 | 0.0418 |
| 2019-03-09 | 77.50  | 0.67     | 0.76       | 0.2220             | -0.4090 | 0.1640 | 0.0421 |
| 2019-03-09 | 80.00  | 0.14     | 0.24       | 0.1911             | 0.1740  | 0.1249 | 0.0276 |
| 2019-03-09 | 80.00  | 2.12     | 2.34       | 0.2088             | -0.8086 | 0.1250 | 0.0303 |
| 2019-03-09 | 82.50  | 0.00     | 0.03       | 0.1911             | 0.0176  | 0.0211 | 0.0047 |
| 2019-03-09 | 82.50  | 4.40     | 4.80       | 0.2088             | -0.9824 | 0.0300 | 0.0054 |
